TICKER,date,PRC,RET,VOL,SHROUT
MSFT,2014-08-28,44.88,0.000223,17657643,8239.849
MSFT,2014-08-29,45.43,0.012255,21608625,8239.849
MSFT,2014-09-02,45.09,-0.007484,22996775,8239.849
MSFT,2014-09-03,44.96,-0.002883,33689341,8239.849
MSFT,2014-09-04,45.26,0.006673,26478210,8239.849
MSFT,2014-09-05,45.91,0.014362,36939360,8239.849
MSFT,2014-09-08,46.47,0.012198,45752772,8239.849
MSFT,2014-09-09,46.76,0.006241,40302386,8239.849
MSFT,2014-09-10,46.84,0.001711,27304859,8239.849
MSFT,2014-09-11,47,0.003416,29216560,8239.849
MSFT,2014-09-12,46.695,-0.006489,38247122,8239.849
MSFT,2014-09-15,46.24,-0.009744,37668051,8239.849
MSFT,2014-09-16,46.76,0.011246,27910571,8239.849
MSFT,2014-09-17,46.52,-0.005133,38319224,8239.849
MSFT,2014-09-18,46.68,0.003439,35556632,8239.849
MSFT,2014-09-19,47.52,0.017995,202567850,8239.849
MSFT,2014-09-22,47.06,-0.00968,38700591,8239.849
MSFT,2014-09-23,46.56,-0.010625,33431078,8239.849
MSFT,2014-09-24,47.08,0.011168,26582713,8239.849
MSFT,2014-09-25,46.04,-0.02209,33077385,8239.849
MSFT,2014-09-26,46.41,0.008036,27078764,8239.849
MSFT,2014-09-29,46.44,0.000646,26090980,8239.849
MSFT,2014-09-30,46.36,-0.001723,33037774,8255.024
MSFT,2014-10-01,45.9,-0.009922,38088355,8255.024
MSFT,2014-10-02,45.76,-0.00305,25119508,8255.024
MSFT,2014-10-03,46.09,0.007212,32453273,8255.024
MSFT,2014-10-06,46.09,0,20603960,8255.024
MSFT,2014-10-07,45.53,-0.01215,25724544,8255.024
MSFT,2014-10-08,46.78,0.027454,33031072,8255.024
MSFT,2014-10-09,45.85,-0.01988,34426595,8255.024
MSFT,2014-10-10,44.03,-0.039695,51978454,8255.024
MSFT,2014-10-13,43.65,-0.00863,37100207,8255.024
MSFT,2014-10-14,43.73,0.001833,38120758,8255.024
MSFT,2014-10-15,43.22,-0.011662,60226781,8255.024
MSFT,2014-10-16,42.74,-0.011106,49063704,8242.853
MSFT,2014-10-17,43.63,0.020824,40683346,8242.853
MSFT,2014-10-20,44.08,0.010314,34530887,8242.853
MSFT,2014-10-21,44.88,0.018149,36446324,8242.853
MSFT,2014-10-22,44.38,-0.011141,33579817,8242.853
MSFT,2014-10-23,45.02,0.014421,45451903,8242.853
MSFT,2014-10-24,46.13,0.024656,61081039,8242.853
MSFT,2014-10-27,45.91,-0.004769,30375145,8242.853
MSFT,2014-10-28,46.49,0.012633,29049828,8242.853
MSFT,2014-10-29,46.62,0.002796,30283622,8242.853
MSFT,2014-10-30,46.05,-0.012227,30073873,8242.853
MSFT,2014-10-31,46.95,0.019544,35849656,8242.853
MSFT,2014-11-03,47.44,0.010437,23130397,8242.853
MSFT,2014-11-04,47.57,0.00274,21530913,8242.853
MSFT,2014-11-05,47.86,0.006096,22449883,8242.853
MSFT,2014-11-06,48.7,0.017551,33039091,8242.853
MSFT,2014-11-07,48.68,-0.000411,28000598,8242.853
MSFT,2014-11-10,48.89,0.004314,36370067,8242.853
MSFT,2014-11-11,48.87,-0.000409,23445239,8242.853
MSFT,2014-11-12,48.78,-0.001842,22722515,8242.853
MSFT,2014-11-13,49.61,0.017015,26210433,8242.853
MSFT,2014-11-14,49.58,-0.000605,29081658,8242.853
MSFT,2014-11-17,49.46,-0.00242,30318648,8242.853
MSFT,2014-11-18,48.74,-0.008289,23996457,8242.853
MSFT,2014-11-19,48.22,-0.010669,26177450,8242.853
MSFT,2014-11-20,48.7,0.009954,21510587,8242.853
MSFT,2014-11-21,47.98,-0.014784,42884795,8242.853
MSFT,2014-11-24,47.59,-0.008128,35434245,8242.853
MSFT,2014-11-25,47.47,-0.002522,28007993,8242.853
MSFT,2014-11-26,47.75,0.005898,27164877,8242.853
MSFT,2014-11-28,47.81,0.001257,21534426,8242.853
MSFT,2014-12-01,48.62,0.016942,31191575,8242.853
MSFT,2014-12-02,48.46,-0.003291,25773478,8242.853
MSFT,2014-12-03,48.08,-0.007841,23534752,8242.853
MSFT,2014-12-04,48.84,0.015807,30887132,8242.853
MSFT,2014-12-05,48.42,-0.0086,27313453,8242.853
MSFT,2014-12-08,47.695,-0.014973,26663107,8242.853
MSFT,2014-12-09,47.59,-0.002201,24360990,8242.853
MSFT,2014-12-10,46.9,-0.014499,30431788,8242.853
MSFT,2014-12-11,47.17,0.005757,29088918,8242.853
MSFT,2014-12-12,46.95,-0.004664,34248371,8242.853
MSFT,2014-12-15,46.67,-0.005964,29247761,8242.853
MSFT,2014-12-16,45.16,-0.032355,47805623,8242.853
MSFT,2014-12-17,45.74,0.012843,34982795,8242.853
MSFT,2014-12-18,47.52,0.038916,40105650,8242.853
MSFT,2014-12-19,47.66,0.002946,64655070,8242.853
MSFT,2014-12-22,47.98,0.006714,26565984,8242.853
MSFT,2014-12-23,48.45,0.009796,24852217,8242.853
MSFT,2014-12-24,48.14,-0.006398,11442790,8242.853
MSFT,2014-12-26,47.88,-0.005401,13197817,8242.853
MSFT,2014-12-29,47.45,-0.008981,14439548,8242.853
MSFT,2014-12-30,47.02,-0.009062,16384692,8242.853
MSFT,2014-12-31,46.45,-0.012122,21552528,8218
MSFT,2015-01-02,46.76,0.006674,27913852,8218
MSFT,2015-01-05,46.325,-0.009303,39673865,8218
MSFT,2015-01-06,45.65,-0.014571,36447854,8218
MSFT,2015-01-07,46.23,0.012705,29222067,8218
MSFT,2015-01-08,47.59,0.029418,29645202,8218
MSFT,2015-01-09,47.19,-0.008405,23944181,8218
MSFT,2015-01-12,46.6,-0.012503,23651887,8218
MSFT,2015-01-13,46.355,-0.005257,35274601,8218
MSFT,2015-01-14,45.955,-0.008629,29719580,8218
MSFT,2015-01-15,45.48,-0.010336,32750825,8218
MSFT,2015-01-16,46.24,0.016711,35695289,8218
MSFT,2015-01-20,46.39,0.003244,36162760,8218
MSFT,2015-01-21,45.92,-0.010132,39086095,8218
MSFT,2015-01-22,47.13,0.02635,35898035,8203.785
MSFT,2015-01-23,47.18,0.001061,26211594,8203.785
MSFT,2015-01-26,47.01,-0.003603,42533313,8203.785
MSFT,2015-01-27,42.66,-0.092533,169170004,8203.785
MSFT,2015-01-28,41.19,-0.034459,84507078,8203.785
MSFT,2015-01-29,42.01,0.019908,63585273,8203.785
MSFT,2015-01-30,40.4,-0.038324,78004944,8203.785
MSFT,2015-02-02,41.28,0.021782,50354232,8203.785
