,Mkt-RF,SMB,HML,WML
196310,2.53,-0.57,-0.04,3.14
196311,-0.85,-1.15,1.7,-0.75
196312,1.83,-2.01,-0.06,1.7
196401,2.24,-0.18,1.53,1.06
196402,1.54,0.08,2.86,0.24
196403,1.41,0.94,3.37,0.71
196404,0.1,-1.32,-0.66,-0.6
196405,1.42,-0.94,1.99,2.54
196406,1.27,-0.27,0.72,0.45
196407,1.74,0.26,0.73,-0.38
196408,-1.44,0.11,0.07,-0.19
196409,2.69,-0.53,1.72,-0.39
196410,0.59,0.42,1.15,0.08
196411,0,0.6,-1.95,1.08
196412,0.03,-0.26,-2.52,-0.69
196501,3.54,2.72,0.16,-1.28
196502,0.44,3.5,0.16,0.3
196503,-1.34,1.81,1.05,0.1
196504,3.11,1.2,0.68,2.54
196505,-0.77,0.06,-1.63,0.54
196506,-5.51,-4.36,0.56,-3.12
196507,1.43,0.87,2.18,4.1
196508,2.73,2.81,-0.96,2.58
196509,2.86,0.62,-0.09,3.37
196510,2.6,2.47,1.54,3.45
196511,-0.03,4.68,0.21,4.42
196512,1.01,2.08,1.96,0.09
196601,0.72,3.88,3.51,5.41
196602,-1.21,4.54,0.27,4.58
196603,-2.51,0.94,-2.07,1.34
196604,2.14,3.45,-0.54,6.18
196605,-5.66,-4.68,-1.57,-4.69
196606,-1.44,1.02,0.5,3.28
196607,-1.63,-0.46,0.99,-1.39
196608,-7.91,-3.22,0.44,-2.11
196609,-1.06,-1.06,0.49,-1.73
196610,3.86,-6.62,2.86,-5.13
196611,1.4,4.23,-4.53,5.73
196612,0.13,1.95,-1.28,1.07
196701,8.15,8.25,2.45,-6.75
196702,0.78,3.31,-2.15,3.56
196703,3.99,1.54,0.46,1.42
196704,3.89,0.63,-2.52,0.64
196705,-4.33,1.95,0.99,0.67
196706,2.41,5.95,0.95,6.03
196707,4.58,3.02,2.8,-1.07
196708,-0.89,0.47,1.39,-1.41
196709,3.11,3.11,-2.48,2.55
196710,-3.09,1.42,-3.38,3.67
196711,0.37,0.21,-1.7,1.29
196712,3.05,5.74,-0.45,3.23
196801,-4.06,3.88,4.79,-4.64
196802,-3.75,-2.96,1.18,-3.41
196803,0.2,-1.28,-0.62,3.18
196804,9.05,5.77,-1.14,5.15
196805,2.28,6.42,0.86,3.73
196806,0.69,-0.18,0.68,-1.92
196807,-2.72,-1.3,5.41,-0.84
196808,1.34,2.35,1.01,1.88
196809,4.03,2.76,0.33,-0.67
196810,0.42,-0.48,2.85,-1.52
196811,5.43,2.35,-0.9,1.73
196812,-3.94,3.43,0,0.11
196901,-1.25,-0.77,1.66,-0.15
